SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
70,1.3893259,316.31589,0.1506124,0.021933503
70,1.3893279,251.04433,0.15395361,0.022346074
70,1.3893311,199.55299,0.15647198,0.023757894
70,1.3893324,158.42841,0.16044778,0.026517423
70,1.3893325,125.84567,0.16179748,0.027553784
70,1.3893299,100.03201,0.16506931,0.030496424
70,1.389329,79.415512,0.16899598,0.034302492
70,1.3893335,63.082298,0.17463623,0.035871334
70,1.3893256,50.144421,0.17917956,0.04082356
70,1.3893205,39.808914,0.18286338,0.045266546
70,1.3893237,31.629555,0.18814276,0.049113046
70,1.389328,25.104433,0.19326539,0.052895099
70,1.3893243,19.955299,0.19968164,0.060192157
70,1.3893331,15.857577,0.20530599,0.068817079
70,1.3893297,12.600809,0.21387541,0.078152008
70,1.3893226,10.003201,0.22335242,0.088462755
70,1.3893239,7.9395323,0.23544712,0.10051052
70,1.3893281,6.3105812,0.24972467,0.11360837
70,1.3893297,5.0080128,0.2666015,0.12830637
70,1.3893293,3.9778516,0.2865566,0.14236084
70,1.3893336,3.1629555,0.31078395,0.15568209
70,1.3893406,2.5136747,0.33767509,0.1667514
70,1.3893372,1.99553,0.36694494,0.17537451
70,1.3893263,1.5853286,0.39800239,0.18047628
70,1.3893398,1.2596742,0.42755258,0.1819057
70,1.3893318,1.0000639,0.45675889,0.18058063
70,1.3893313,0.79363066,0.48328474,0.17865494
70,1.3893491,0.63090527,0.50689733,0.17287149
70,1.3893464,0.50154078,0.52949578,0.17001916
70,1.3893371,0.39774463,0.54979277,0.16815986
70,1.3893471,0.3161931,0.56817687,0.16577151
70,1.3893725,0.25122195,0.58368999,0.16343249
70,1.3893909,0.19933917,0.59843284,0.16271833
70,1.3894001,0.15860692,0.61436099,0.16483329
70,1.3894103,0.12593903,0.63032866,0.16852978
70,1.3894203,0.10007046,0.64547902,0.17223255
